player,angle,length,angle_degrees
Pedri,2.7277124,11.686745,156.2864082455006
Pedri,2.1529338,9.457801,123.35402031106247
Pedri,1.6500999,30.295214,94.5437600449592
Pedri,-1.0303768,20.40833,300.9637580518047
Pedri,1.7798193,23.61398,101.97613418592852
Pedri,-1.0151019,14.596232,301.8389453542891
Pedri,1.0834845,37.800133,62.07908901784224
Pedri,1.7667775,27.730848,101.22889408867479
Pedri,-0.41241044,19.210674,336.3706223608667
Pedri,1.8206372,14.964625,104.31482758451556
Pedri,2.5298657,8.184131,144.9506273449097
Pedri,1.7868084,32.658997,102.3765801185234
Pedri,-1.6828787,23.24586,263.5781530575374
Pedri,1.907659,25.111353,109.30080945014711
Pedri,1.6911792,24.980793,96.89743056031095
Pedri,1.8015512,17.05198,103.22128033672888
Pedri,2.4625874,21.973848,141.09586470209464
Pedri,0.55724305,23.447174,31.927674927997508
Pedri,-0.37915868,13.778606,338.2758078702487
Pedri,-0.6271982,36.80489,324.0641902217979
Pedri,1.8333658,26.1979,105.04412264362578
Pedri,-0.73563087,18.478365,317.85145586946305
Pedri,1.8289075,25.856527,104.7886808698226
Pedri,-0.5456551,13.102672,328.7362657002111
Pedri,-0.8808923,18.539957,309.52858900442806
Pedri,0.45979407,23.210558,26.34425965614274
Pedri,2.0481417,9.794897,117.3498752547496
Pedri,-0.8178777,19.597193,313.1390596321331
Pedri,1.5644673,31.600634,89.63737347622721
Pedri,1.4233592,10.210778,81.55247489111724
Pedri,1.7316585,26.846601,99.21672360795486
Pedri,0.61656624,12.624579,35.3266433422502
Pedri,1.7256442,20.748253,98.87212960122933
Pedri,1.0507822,14.288807,60.205385247471575
Pedri,-0.7301353,16.642416,318.1663288364818
Pedri,1.4970387,20.355343,85.7739992777514
Pedri,2.1719947,18.916924,124.44612943478339
Pedri,1.0460006,10.977249,59.93141974815182
Pedri,1.6047455,26.515278,91.94514434261104
Pedri,1.6622075,24.100622,95.23747442499179
Pedri,0.87887496,13.635982,50.35582592772904
Pedri,-0.8740541,6.3890533,309.9203890038944
Pedri,-0.12599568,15.119855,352.7809792991191
Pedri,-0.7656379,17.893295,316.1321796947406
